star_age,dt,model_number,star_mass,R_surf,L_surf,T_surf,P_surf,ρ_surf,X_surf,Y_surf,T_center,P_center,ρ_center,X_center,Y_center
10.0,10.0,1.0,1.0,97.38332934982921,15.429689418412847,1160.049190145703,5.616082211543258,3.568328828319162e-11,0.7154,0.2704,120253.22370643582,Inf,7.645598665196878e-5,0.7154,0.2704
15.0,5.0,2.0,1.0,97.34218911523261,15.421184100645768,1160.134372545342,5.620830322636338,3.57108504584528e-11,0.7154,0.2704,120293.43177863226,Inf,7.651907530492331e-5,0.7154,0.2704
22.5,7.5,3.0,1.0,97.28694812995785,15.42584398592232,1160.551352273406,5.627215318041925,3.573856221094305e-11,0.7154,0.2704,120353.7863107597,Inf,7.661384960703436e-5,0.7154,0.2704
33.75,11.25,4.0,1.0,97.20207776941605,15.437507592834177,1161.2773088246522,5.637046224972775,3.577859599245414e-11,0.7154,0.2704,120444.42727303073,Inf,7.675634286851714e-5,0.7154,0.2704
50.625,16.875,5.0,1.0,97.06262066822265,15.441557681876102,1162.1874697966598,5.653256190527161,3.585337335000463e-11,0.7154,0.2704,120580.5596512765,Inf,7.697075974599069e-5,0.7154,0.2704
75.9375,25.3125,6.0,1.0,96.83633016808906,15.423003587332957,1163.1949201057917,5.679708512694848,3.598997304865432e-11,0.7154,0.2704,120784.94260416953,Inf,7.729372001860612e-5,0.7154,0.2704
113.90625,37.96875,7.0,1.0,96.48365436088832,15.371187536331055,1164.338884335654,5.721306371863802,3.621804137095807e-11,0.7154,0.2704,121091.64684828372,Inf,7.778088569053181e-5,0.7154,0.2704
170.859375,56.953125,8.0,1.0,95.95466406360293,15.279959167633168,1165.8077068220068,5.784562453385142,3.657251607962726e-11,0.7154,0.2704,121551.82630479064,Inf,7.85174965210131e-5,0.7154,0.2704
256.2890625,85.4296875,9.0,1.0,95.18392249587922,15.146214346915091,1167.9483673100078,5.878621477948884,3.709933833906584e-11,0.7154,0.2704,122242.85658962882,Inf,7.963551766337287e-5,0.7154,0.2704
361.79177695541324,105.50271445541323,10.0,1.0,94.27538280935133,14.997463694956815,1170.6706244528198,5.9924729712362215,3.77301977601705e-11,0.7154,0.2704,123095.09834492633,Inf,8.103157610082344e-5,0.7154,0.2704
471.26755374531723,109.47577678990396,11.0,1.0,93.37944980423909,14.861048082320902,1173.5892498719384,6.1080146707476795,3.8362313683213686e-11,0.7154,0.2704,123975.2391067025,Inf,8.24914369370411e-5,0.7154,0.2704
585.3696991646862,114.102145419369,12.0,1.0,92.48953157045995,14.73526484650506,1176.7185906595969,6.226120663869796,3.9000362440183145e-11,0.7154,0.2704,124888.96705717895,Inf,8.402594306755558e-5,0.7154,0.2704
703.9564814155267,118.58678225084053,13.0,1.0,91.60568908925683,14.619059709854554,1180.0436037999818,6.34684366597193,3.9644790972922234e-11,0.7154,0.2704,125835.17323273263,Inf,8.563533875615406e-5,0.7154,0.2704
826.8655306635162,122.90904924798956,14.0,1.0,90.72810989126687,14.511391775276792,1183.547665971587,6.4702187822655155,4.029601185800635e-11,0.7154,0.2704,126812.43684534228,Inf,8.731970223121549e-5,0.7154,0.2704
953.9344693113798,127.0689386478636,15.0,1.0,89.8570398865636,14.411337586317412,1187.2151699059002,6.596270812020218,4.095436391082211e-11,0.7154,0.2704,127819.25488497435,Inf,8.907917689195615e-5,0.7154,0.2704
1085.015078525033,131.0806092136532,16.0,1.0,88.99270036786027,14.318098474155509,1191.0323617616748,6.725025304408837,4.162015003873178e-11,0.7154,0.2704,128854.20498952053,Inf,9.091413594873864e-5,0.7154,0.2704
1219.9761340751384,134.9610555501052,17.0,1.0,88.13527077377981,14.230988670037044,1194.9873691968403,6.856511467933315,4.2293650083873565e-11,0.7154,0.2704,129915.99889940351,Inf,9.282520593541094e-5,0.7154,0.2704
1358.702733401118,138.72659932597958,18.0,1.0,87.28488936445413,14.149418876821612,1199.0699969511668,6.990762717165339,4.2975127084948704e-11,0.7154,0.2704,131003.4939153636,Inf,9.481325155508492e-5,0.7154,0.2704
1501.0945559560907,142.39182255497303,19.0,1.0,86.44165885267222,14.072880540140861,1203.2714773788123,7.127816453526611,4.3664830962701526e-11,0.7154,0.2704,132115.68660653857,Inf,9.687935173429187e-5,0.7154,0.2704
1647.0639578779549,145.96940192186415,20.0,1.0,85.60565265078361,14.00093228662931,1207.584237860909,7.26771365028586,4.4363001074725735e-11,0.7154,0.2704,133251.69970362997,Inf,9.902477670116059e-5,0.7154,0.2704
1796.5342116911027,149.47025381314788,21.0,1.0,84.77692042759868,13.93318869044893,1212.0017017569653,7.410498435585257,4.50698681727032e-11,0.7154,0.2704,134410.76720494544,Inf,0.00010125096869708231,0.7154,0.2704
1949.4379779415747,152.9037662504719,22.0,1.0,83.95549270122746,13.869311111680046,1216.5181237154302,7.556217732153458,4.578565598300724e-11,0.7154,0.2704,135592.21996445113,Inf,0.00010355952652131475,0.7154,0.2704
2105.7160121411443,156.27803419956976,23.0,1.0,83.14138452799439,13.809000257027881,1221.1284551822412,7.704920963997872,4.651058251715827e-11,0.7154,0.2704,136795.4726905306,Inf,0.00010595219340339812,0.7154,0.2704
2265.316082031927,159.6000698907832,24.0,1.0,82.3345984352215,13.751990132133253,1225.8282349471776,7.856659824253686,4.724486117329235e-11,0.7154,0.2704,138020.0126327593,Inf,0.0001084308475827535,0.7154,0.2704
2428.192063440174,162.87598140824662,25.0,1.0,81.5351267492784,13.698043105575724,1230.6134999404749,8.011488094209907,4.7988701669592754e-11,0.7154,0.2704,139265.38992918681,Inf,0.00011099749504194415,0.7154,0.2704
2594.3031843470844,166.11112090691032,26.0,1.0,80.74295344880795,13.646945858306553,1235.4807122453976,8.169461503630956,4.874231084010094e-11,0.7154,0.2704,140531.20945728253,Inf,0.00011365426394652267,0.7154,0.2704
2763.6133907722533,169.31020642516887,27.0,1.0,79.95805564747035,13.598506039298206,1240.4266990635047,8.330637623891821,4.9505893316798484e-11,0.7154,0.2704,141817.12398969813,Inf,0.00011640340044382386,0.7154,0.2704
2936.0908124691614,172.47742169690827,28.0,1.0,79.18040478762994,13.552549486619956,1245.4486030411495,8.495075787055788,5.027965211724532e-11,0.7154,0.2704,143122.8284555831,Inf,0.00011924726555406309,0.7154,0.2704
3111.707310462758,175.61649799359645,29.0,1.0,78.40996760780945,13.508917903547196,1250.5438409146304,8.662837025469639,5.106378915351158e-11,0.7154,0.2704,144448.05512576844,Inf,0.0001221883329496921,0.7154,0.2704
3290.4380918910792,178.7307814283213,30.0,1.0,77.64670693217185,13.467466903008798,1255.7100688670848,8.83398402764686,5.185850567532736e-11,0.7154,0.2704,145792.5695639202,Inf,0.00012522918746654742,0.7154,0.2704
3472.2613804252355,181.82328853415586,31.0,1.0,76.89058231916731,13.428064352048397,1260.9451533311012,9.008581107150613,5.26640026580596e-11,0.7154,0.2704,147156.1672099956,Inf,0.0001283725242261831,0.7154,0.2704
3657.158132814026,184.8967523887905,32.0,1.0,76.14155059800179,13.39058896219868,1266.247146236504,9.186694181924599,5.3480481144255496e-11,0.7154,0.2704,148538.6704845924,Inf,0.00013162114827598435,0.7154,0.2704
3845.1117939154674,187.9536611014412,33.0,1.0,75.39956631514468,13.354929082702172,1271.6142639091438,9.368390762087781,5.430814254595971e-11,0.7154,0.2704,149939.9263221509,Inf,0.00013497797467437918,0.7154,0.2704
4036.108084023158,190.99629010769107,34.0,1.0,74.66458210820144,13.320981662093711,1277.044868987124,9.553739944644105,5.514718891375362e-11,0.7154,0.2704,151359.80405734424,Inf,0.00013844602896430388,0.7154,0.2704
4230.134813446598,194.02672942343972,35.0,1.0,73.93654902073575,13.288651350366491,1282.5374548462917,9.742812413896578,5.599782317745353e-11,0.7154,0.2704,152798.19360262496,Inf,0.0001420284479903288,0.7154,0.2704
4427.18172021957,197.04690677297185,36.0,1.0,73.2154167687682,13.257849719204144,1288.0906321248935,9.935680446614453,5.686024936257717e-11,0.7154,0.2704,154255.0038661395,Inf,0.00014572848102426369,0.7154,0.2704
4627.240327541832,200.05860732226228,37.0,1.0,72.5011339674639,13.22849458191267,1293.703117014539,10.132417921203334,5.773467278601112e-11,0.7154,0.2704,155730.16136846007,Inf,0.00014954949117144904,0.7154,0.2704
4830.303818141497,203.06349059966558,38.0,1.0,71.79364832482966,13.200509397976658,1299.3737210454276,10.333100330284346,5.862130023377106e-11,0.7154,0.2704,157223.60902414582,Inf,0.00015349495703558663,0.7154,0.2704
5036.366923216574,206.0631050750775,39.0,1.0,71.09290680789391,13.173822749789876,1305.1013421422717,10.537804796210704,5.952034012329872e-11,0.7154,0.2704,158735.3050603674,Inf,0.0001575684746244749,0.7154,0.2704
5245.42582398941,209.0589007728357,40.0,1.0,70.39885578582098,13.14836788121669,1310.8849567658042,10.746610089143516,6.043200265237145e-11,0.7154,0.2704,160265.22204990283,Inf,0.0001617737594824356,0.7154,0.2704
5457.478064216537,212.05224022712738,41.0,1.0,69.71144115358159,13.12408228934148,1316.723612985838,10.959596647385226,6.135649993640805e-11,0.7154,0.2704,161813.3460400105,Inf,0.0001661146490379934,0.7154,0.2704
5672.522472246106,215.0444080295691,42.0,1.0,69.03060843915074,13.100907362146035,1322.616424356831,11.176846599726353,6.229404613569914e-11,0.7154,0.2704,163379.67576211496,Inf,0.00017059510515751491,0.7154,0.2704
5890.559091419552,218.0366191734455,43.0,1.0,68.35630289670114,13.078788055984727,1328.5625644872116,11.398443789606423,6.324485757387918e-11,0.7154,0.2704,164964.22191005212,Inf,0.00017521921689719265,0.7154,0.2704
6111.589117787849,221.03002636829737,44.0,1.0,67.68846958782304,13.057672607658542,1334.5612622105232,11.624473800930772,6.420915284879902e-11,0.7154,0.2704,166567.00647695645,Inf,0.00017999120344722842,0.7154,0.2704
6335.614844251833,224.0257264639842,45.0,1.0,67.0270534524844,13.03751227665926,1340.611797280041,11.855023985409126,6.518715293678692e-11,0.7154,0.2704,168188.0621427548,Inf,0.00018491541726313156,0.7154,0.2704
6562.63961035835,227.02476610651624,46.0,1.0,66.37199937115946,13.0182611137972,1346.7134965200487,12.09018349131014,6.617908129118013e-11,0.7154,0.2704,169827.43170577887,Inf,0.00018999634738005105,0.7154,0.2704
6792.667757084527,230.0281467261774,47.0,1.0,65.7232522193322,12.99987575296397,1352.8657303764323,12.330043293542888,6.71851639358891e-11,0.7154,0.2704,171485.16755328057,Inf,0.0001952386229068652,0.7154,0.2704
7025.704586028563,233.0368289440361,48.0,1.0,65.08075691540303,12.98231522323433,1359.0679098172786,12.574696224991706,6.820562955466105e-11,0.7154,0.2704,173161.33116662642,Inf,0.0002006470166974462,0.7154,0.2704
7261.756322501879,236.05173647331662,49.0,1.0,64.4444584628585,12.96554077889369,1365.3194835409763,12.824237009047087,6.924070957664313e-11,0.7154,0.2704,174855.99265779855,Inf,0.00020622644919722312,0.7154,0.2704
7500.830082078185,239.07375957630464,50.0,1.0,63.814301987456645,12.949515745303266,1371.6199354549874,13.078762293280992,7.029063825875119e-11,0.7154,0.2704,176569.23033443795,Inf,0.00021198199246365258,0.7154,0.2704
7742.933840214602,242.10375813641784,51.0,1.0,63.190232770048674,12.934205378791722,1377.9687823934769,13.338370684230268,7.13556527653156e-11,0.7154,0.2704,178301.1302912268,Inf,0.00021791887435988218,0.7154,0.2704
7988.0764046033,245.14256438869722,52.0,1.0,62.57219627559269,12.919576738998398,1384.3655720460545,13.603162783252886,7.243599324539165e-11,0.7154,0.2704,180051.78602575735,Inf,0.00022404248292125554,0.7154,0.2704
8236.267389958193,248.1909853548945,53.0,1.0,61.96013817882083,12.905598572296537,1390.809881073579,13.873241223434261,7.353190290810186e-11,0.7154,0.2704,181821.29807738462,Inf,0.0002303583708949299,0.7154,0.2704
8487.517194975624,251.24980501743067,54.0,1.0,61.35400438696182,12.892241205098527,1397.3013133900502,14.148710707523588,7.464362809632098e-11,0.7154,0.2704,183609.77368778145,Inf,0.00023687226045326684,0.7154,0.2704
8741.83698123906,254.31978626343363,55.0,1.0,60.75374105987202,12.879476445995522,1403.8394985922268,14.42967804688441,7.577141835897747e-11,0.7154,0.2704,185417.32648207984,Inf,0.00024359004808209065,0.7154,0.2704
8999.238653867631,257.4016726285725,56.0,1.0,60.159294627871034,12.867277495812813,1410.424090520986,14.71625220145027,7.691552652222202e-11,0.7154,0.2704,187244.07616963127,Inf,0.00025051780964541057,0.7154,0.2704
9259.73484373026,260.4961898626307,57.0,1.0,59.57061180755046,12.855618864774005,1417.0547659403694,15.008544320677697,7.807620875967703e-11,0.7154,0.2704,189090.1482635029,Inf,0.00025766180562850825,0.7154,0.2704
9523.338891071106,263.6040473408455,58.0,1.0,58.98763961577436,12.844476296063773,1423.7312233220669,15.306667785494716,7.925372466196594e-11,0.7154,0.2704,190955.67381790286,Inf,0.0002650284865618304,0.7154,0.2704
9790.064830406705,266.72593933559955,59.0,1.0,58.4103253820787,12.833826695162607,1430.4531817244247,15.610738251242129,8.044833730568829e-11,0.7154,0.2704,192840.78918275717,Inf,0.00027262449862832424,0.7154,0.2704
10059.927376575037,269.86254616833116,60.0,1.0,57.838616759639095,12.823648064399737,1437.2203797565633,15.920873691611268,8.166031332199757e-11,0.7154,0.2704,194745.6357747148,Inf,0.00028045668945740116,0.7154,0.2704
10332.941911829128,273.0145352540899,61.0,1.0,57.27246173495535,12.813919442233686,1444.0325746191577,16.237194443582474,8.288992296492185e-11,0.7154,0.2704,196670.35986386923,Inf,0.0002885321141089658,0.7154,0.2704
10609.124473878468,276.18256204934016,62.0,1.0,56.7118086363968,12.804620846824742,1450.8895412144332,16.55982325336846,8.41374401795414e-11,0.7154,0.2704,198615.11237548752,Inf,0.00029685804125125924,0.7154,0.2704
10888.491744797357,279.3672709188897,63.0,1.0,56.15660614171049,12.795733223511835,1457.7910713188946,16.888885323374595,8.540314267014941e-11,0.7154,0.2704,200580.04870608906,Inf,0.0003054419595367607,0.7154,0.2704
11171.061040721366,282.56929592400996,64.0,1.0,55.60680328461126,12.787238395848684,1464.7369728128558,17.224508360180593,8.668731196847581e-11,0.7154,0.2704,202565.32855316397,Inf,0.0003142915841804515,0.7154,0.2704
11456.850302269015,285.78926154764764,65.0,1.0,55.06234946053316,12.779119019889967,1471.727068961674,17.566822623560167,8.799023350208747e-11,0.7154,0.2704,204571.11575789933,Inf,0.0003234148637453223,0.7154,0.2704
11745.878085626948,289.0277833579331,66.0,1.0,54.5231944316308,12.771358541451537,1478.7611977440254,17.915960976546604,8.931219666302722e-11,0.7154,0.2704,206597.57816023412,Inf,0.0003328199871401187,0.7154,0.2704
12038.163554247172,292.285468620224,67.0,1.0,53.98928833109713,12.76394115609665,1485.8392112231209,18.27205893656105,9.065349487678218e-11,0.7154,0.2704,208644.88746561043,Inf,0.0003425153908346884,0.7154,0.2704
12333.72647110753,295.5629168603581,68.0,1.0,53.46058166686698,12.756851771624957,1492.9609749571505,18.63525472761589,9.20144256716397e-11,0.7154,0.2704,210713.21912277583,Inf,0.0003525097662985522,0.7154,0.2704
12632.587191494295,298.8607203867657,69.0,1.0,52.93702532476063,12.750075972863897,1500.1263674456793,19.00568933361083,9.339529074850256e-11,0.7154,0.2704,212802.7522120311,Inf,0.0003628120676686502,0.7154,0.2704
12934.76665626863,302.17946477433486,70.0,1.0,52.418570571117385,12.743599988580767,1507.3352796090276,19.38350655273764,9.479639605121844e-11,0.7154,0.2704,214913.6693433141,Inf,0.00037343151965242636,0.7154,0.2704
