star_age,dt,model_number,star_mass,R_surf,L_surf,T_surf,P_surf,ρ_surf,X_surf,Y_surf,T_center,P_center,ρ_center,X_center,Y_center
10.0,10.0,1.0,1.0,97.38332934982921,15.429689418412819,1160.0491901457021,5.6160822115432545,3.568328828319162e-11,0.7154,0.2704,120253.22370643604,Inf,7.645598665196743e-5,0.7154,0.2704
15.0,5.0,2.0,1.0,97.34218911523261,15.421184100645691,1160.1343725453391,5.620830322636323,3.57108504584528e-11,0.7154,0.2704,120293.43177863248,Inf,7.65190753049214e-5,0.7154,0.2704
22.5,7.5,3.0,1.0,97.28694812995785,15.425843985922228,1160.5513522734032,5.62721531804189,3.573856221094292e-11,0.7154,0.2704,120353.7863107599,Inf,7.661384960703191e-5,0.7154,0.2704
33.75,11.25,4.0,1.0,97.2020777694164,15.437507592834034,1161.2773088246493,5.637046224972741,3.577859599245401e-11,0.7154,0.2704,120444.42727303115,Inf,7.675634286851346e-5,0.7154,0.2704
50.625,16.875,5.0,1.0,97.062620668223,15.44155768187588,1162.1874697966548,5.653256190527116,3.58533733500045e-11,0.7154,0.2704,120580.55965127714,Inf,7.697075974598495e-5,0.7154,0.2704
75.9375,25.3125,6.0,1.0,96.83633016808976,15.423003587332644,1163.1949201057823,5.6797085126947815,3.598997304865419e-11,0.7154,0.2704,120784.94260417038,Inf,7.729372001859761e-5,0.7154,0.2704
113.90625,37.96875,7.0,1.0,96.48365436088935,15.371187536330579,1164.3388843356386,5.721306371863685,3.621804137095781e-11,0.7154,0.2704,121091.6468482848,Inf,7.778088569051883e-5,0.7154,0.2704
170.859375,56.953125,8.0,1.0,95.9546640636043,15.279959167632422,1165.807706821984,5.784562453384967,3.6572516079626875e-11,0.7154,0.2704,121551.82630479215,Inf,7.851749652099288e-5,0.7154,0.2704
256.2890625,85.4296875,9.0,1.0,95.18392249588159,15.146214346913915,1167.9483673099714,5.8786214779486174,3.709933833906531e-11,0.7154,0.2704,122242.8565896312,Inf,7.963551766334189e-5,0.7154,0.2704
361.7917769555522,105.50271445555224,10.0,1.0,94.27538280935333,14.99746369495489,1170.67062445277,5.992472971235987,3.773019776017063e-11,0.7154,0.2704,123095.09834493048,Inf,8.103157610077969e-5,0.7154,0.2704
471.26755374555887,109.47577679000659,11.0,1.0,93.37944980424142,14.861048082318268,1173.5892498718727,6.1080146707474015,3.8362313683214093e-11,0.7154,0.2704,123975.239106708,Inf,8.249143693698276e-5,0.7154,0.2704
585.3696991650788,114.1021454195199,12.0,1.0,92.48953157046225,14.735264846501636,1176.7185906595155,6.226120663869521,3.9000362440184114e-11,0.7154,0.2704,124888.96705718628,Inf,8.402594306748139e-5,0.7154,0.2704
703.9564814160753,118.58678225099656,13.0,1.0,91.60568908925943,14.619059709850312,1180.043603799881,6.346843665971612,3.964479097292364e-11,0.7154,0.2704,125835.17323274158,Inf,8.563533875606232e-5,0.7154,0.2704
